"FM","KD_JENIS_TRANSAKSI","FG_PENGGANTI","NOMOR_FAKTUR","MASA_PAJAK","TAHUN_PAJAK","TANGGAL_FAKTUR","NPWP","NAMA","ALAMAT_LENGKAP","JUMLAH_DPP","JUMLAH_PPN","JUMLAH_PPNBM","IS_CREDITABLE"
"FM","01","0","0191786827684","9","2017","23/09/2017","015288806415000","PT CENTRAL SATRYAPERDANA.",,"205297","20529","0","1"
"FM","01","0","0181761341753","9","2017","25/09/2017","742081094033000","PT NAGA MAS METALINDO",,"2381818","238181","0","1"
"FM","01","0","0191743493208","9","2017","28/09/2017","026710558034000","PT BINAR BESTARI BUANA",,"7700000","770000","0","1"
"FM","01","0","0191768108451","9","2017","28/09/2017","021094263023000","CV TRIMITRA SURYA ABADI",,"1704000","170400","0","1"
"FM","01","0","0191780478863","9","2017","29/09/2017","027962547062000","PT MULTI VISCOMINDO",,"3069000","306900","0","1"
"FM","01","0","0191743493222","9","2017","30/09/2017","026710558034000","PT BINAR BESTARI BUANA",,"8140800","814080","0","1"
"FM","01","0","0201719601507","9","2017","26/09/2017","023629926402000","CV BAYU UTAMA",,"1998000","199800","0","1"
"FM","01","0","0201719602562","10","2017","23/10/2017","023629926402000","CV BAYU UTAMA",,"1998000","199800","0","1"
"FM","01","0","0191786829593","10","2017","31/10/2017","015288806415000","PT CENTRAL SATRYAPERDANA.",,"3257280","325728","0","1"
"FM","01","0","0201716306145","10","2017","24/10/2017","017745001415000","PT INDAHVARIA EKASELARAS",,"22110000","2211000","0","1"
"FM","01","0","0201761447735","10","2017","27/10/2017","015660905008000","PT TIRTAMULIA GEMILANG",,"3959091","395909","0","1"
"FM","01","0","0201754613167","10","2017","27/10/2017","022384614048000","PT WIRA MITRA GEMILANG",,"3163636","316364","0","1"
"FM","01","0","0191786828769","10","2017","14/10/2017","015288806415000","PT CENTRAL SATRYAPERDANA.",,"915813","91581","0","1"
"FM","01","0","0191786828997","10","2017","18/10/2017","015288806415000","PT CENTRAL SATRYAPERDANA.",,"2948214","294821","0","1"
"FM","01","0","0191779248638","10","2017","21/10/2017","022885974451000","PT KARYA MANDIRI GUNA",,"21945000","2194500","0","1"
